zip_code,name,rating,review_count,price,location_check,id
63101,City Museum,4.5,1245,NaN,63103,8YDJraW_cg5IPTPisPfB-A
63101,Broadway Oyster Bar,4.5,1740,$$,63102,iRIHK8-EwpeffwvoO4nzIA
63101,Mango,4.0,903,$$,63101,Mr7Aov2n7wPCpwaUxk8lCw
63101,Rooster,4.0,1759,$$,63101,2BMk_drsikKWslJCXmQtjQ
63101,Sugarfire Smoke House,4.5,885,$$,63101,WCdSajl5Q0qywpv7K5jHdQ
63101,Bogart's Smokehouse,4.5,1350,$$,63104,NHb6QTrJOnyIj-Zd0fYzFg
63101,Bridge Tap House and Wine Bar,4.0,699,$$,63101,4r3Ck65DCG1T6gpWodPyrg
63101,Sauce on the Side,4.5,387,$$,63101,P2XJbQZmf1zvWp9L_THdjQ
63101,Baileys' Range,3.5,1451,$$,63101,M0r9lUn2gLFYgIwIfG8-bQ
63101,Medina Mediterranean Grill,4.5,266,$,63103,QV7QOLww8ym3E2zBgdE2Ow
63101,Pi Pizzeria,4.0,503,$$,63101,jRpK8oG_8QKaPGaaKiCyng
63101,Blood & Sand,4.5,289,$$$,63103,A4-2jEraYJ2w2grn_uXlHw
63101,The Gateway Arch,4.0,493,NaN,63102,gQYUyfiX0q0uTnueAyeqLA
63101,360 St. Louis,4.0,620,$$,63102,GeLwhGlX8XsIsH-o3Wdc5w
63101,Polite Society,4.5,521,$$,63104,aI3B47Y_AUYFP5K5JAYrlA
63101,Citygarden,4.5,137,NaN,63101,1Mc_Reqnxhs0eHQFAhXVUQ
63101,The Schlafly Tap Room,4.0,643,$$,63103,F4gvookXrKsBNCvK_xEt1g
63101,Gateway Arch National Park,4.5,254,NaN,63102,l8gsO8mMoVF7vqTDUNGeZw
63101,Blues City Deli,5.0,874,$,63104,_aKr7POnacW_VizRKBpCiA
63101,Park Avenue Coffee - Downtown,4.0,205,$,63101,AhptHEV4nFleCv4yOwp6fg
63101,Caruso's Deli,4.5,158,$,63101,qq8tipfziNTaKXYDKnQ8og
63101,Crown Candy Kitchen,4.5,514,$,63106,3XirYkP9PJvVXIEDPNNXLA
63101,Eleven Eleven,4.0,504,$$$,63104,q2gRx1K1mbk6zHV4ZOCChQ
63101,Charles P Stanley Cigar Bar,4.5,106,$$,63101,SzKOoeRCtoXvekt3K8B9Iw
63101,Clementine's Naughty & Nice Creamery,4.5,503,$$,63104,fC03dk7N8XV-RzGh0UJgmA
63101,Baileys' Chocolate Bar,4.0,545,$$,63104,u4WC_qHGn03jwNdVmW5vaQ
63101,Tony's,4.0,184,$$$$,63102,v2Z_d9d2GWCVUTtPg5ucRw
63101,Pickles Deli Downtown,4.5,145,$,63101,xhydqMrct3DSCIl7Yjx9Qg
63101,Lombardo's Trattoria,4.5,291,$$,63103,kBCB53psaoKcHwv4kNByOg
63101,Drunken Fish,4.0,379,$$,63102,m6Q6z3SAkXVdidNqiKmBrQ
63101,Blondie's Coffee and Wine Bar,4.0,256,$$,63103,33JlrWf0kmHd2VzW58Wp0g
63101,Square One Brewery & Distillery,4.0,589,$$,63104,GqyOrF5X21ciTjnuSCH5PQ
63101,Tigin Irish Pub,4.0,266,$$,63102,Xk6GSFf8KGGZ3cyYijwRcw
63101,"BLT's - Breakfast, Lunch and Tacos",4.0,140,$$,63101,1yrGx3Cwtj7I0zmhuVsu9Q
63101,Egg,4.5,566,$$,63104,0MhxvTys2ADYa3sOO91ldQ
63101,Sushi Ai,3.5,274,$$,63101,eclNqAZx6YHlkx_QDBF6AA
63101,Kaldi's Coffee,4.5,104,$$,63101,0JnsAQFvOFxPltNU_smK3w
63101,Snarf's,4.0,195,$,63101,4CfelC-az9l85o1CY7eQvg
63101,4 Hands Brewing,4.0,291,$$,63104,wPViqOIThG5W_p4FKGqjrQ
63101,Planter's House,4.0,246,$$,63104,90pJu2O7fIEm_N31Fyue7A
63101,Pieces The St. Louis Board Game Bar & Cafe,4.5,174,$$,63104,r8DNf74pfvCdy29fGuwAoA
63101,Washington Avenue Post,4.5,73,$,63103,LS0bgbX9fTTTOJe5wDZj-g
63101,Rosalita's Cantina,3.5,482,$$,63103,d5G3dpdyO60CYHukoM-_FQ
63101,Lucas Park Grille,3.5,236,$$,63103,7s5ImgKYDMrwYtFuNZuLjw
63101,Carmine's Steakhouse,4.0,216,$$$,63102,1P_mGUY1PyPq7_ZabrzpBw
63101,PW Pizza,4.0,275,$$,63103,6t0sNev22mcbvOB4gYVVOw
63101,Mission Taco Joint,4.0,513,$$,63104,bqR_3sT_rNp0hZglPtX6rw
63101,Pizzeoli Wood Fired Pizza,4.5,293,$$,63104,CBWmYHLgtFrOJs7SCcQn0g
63101,The Over/Under Bar & Grill,3.5,235,$$,63101,iiBCWBFwb_bzlH9usC5XPQ
63101,Park Avenue Coffee - Lafayette Square,4.0,242,$,63104,2IahpaBR4U2Kdy9HF28EQA
63102,City Museum,4.5,1245,NaN,63103,8YDJraW_cg5IPTPisPfB-A
63102,Broadway Oyster Bar,4.5,1740,$$,63102,iRIHK8-EwpeffwvoO4nzIA
63102,Sugarfire Smoke House,4.5,885,$$,63101,WCdSajl5Q0qywpv7K5jHdQ
63102,Mango,4.0,903,$$,63101,Mr7Aov2n7wPCpwaUxk8lCw
63102,Rooster,4.0,1759,$$,63101,2BMk_drsikKWslJCXmQtjQ
