zip_code,name,rating,review_count,price,location_check,id
63101,City Museum,4.5,1245,NaN,63103,8YDJraW_cg5IPTPisPfB-A
63101,Broadway Oyster Bar,4.5,1741,$$,63102,iRIHK8-EwpeffwvoO4nzIA
63101,Mango,4.0,903,$$,63101,Mr7Aov2n7wPCpwaUxk8lCw
63101,Rooster,4.0,1759,$$,63101,2BMk_drsikKWslJCXmQtjQ
63101,Sugarfire Smoke House,4.5,885,$$,63101,WCdSajl5Q0qywpv7K5jHdQ
63101,Bogart's Smokehouse,4.5,1350,$$,63104,NHb6QTrJOnyIj-Zd0fYzFg
63101,Bridge Tap House and Wine Bar,4.0,699,$$,63101,4r3Ck65DCG1T6gpWodPyrg
63101,Sauce on the Side,4.5,387,$$,63101,P2XJbQZmf1zvWp9L_THdjQ
63101,Baileys' Range,3.5,1451,$$,63101,M0r9lUn2gLFYgIwIfG8-bQ
63101,Medina Mediterranean Grill,4.5,266,$,63103,QV7QOLww8ym3E2zBgdE2Ow
63101,Pi Pizzeria,4.0,503,$$,63101,jRpK8oG_8QKaPGaaKiCyng
63101,Blood & Sand,4.5,289,$$$,63103,A4-2jEraYJ2w2grn_uXlHw
63101,The Gateway Arch,4.0,493,NaN,63102,gQYUyfiX0q0uTnueAyeqLA
63101,360 St. Louis,4.0,620,$$,63102,GeLwhGlX8XsIsH-o3Wdc5w
63101,Polite Society,4.5,521,$$,63104,aI3B47Y_AUYFP5K5JAYrlA
63101,Citygarden,4.5,137,NaN,63101,1Mc_Reqnxhs0eHQFAhXVUQ
63101,The Schlafly Tap Room,4.0,643,$$,63103,F4gvookXrKsBNCvK_xEt1g
63101,Gateway Arch National Park,4.5,254,NaN,63102,l8gsO8mMoVF7vqTDUNGeZw
63101,Blues City Deli,5.0,874,$,63104,_aKr7POnacW_VizRKBpCiA
63101,Park Avenue Coffee - Downtown,4.0,205,$,63101,AhptHEV4nFleCv4yOwp6fg
63101,Caruso's Deli,4.5,158,$,63101,qq8tipfziNTaKXYDKnQ8og
63101,Crown Candy Kitchen,4.5,514,$,63106,3XirYkP9PJvVXIEDPNNXLA
63101,Eleven Eleven,4.0,504,$$$,63104,q2gRx1K1mbk6zHV4ZOCChQ
63101,Charles P Stanley Cigar Bar,4.5,107,$$,63101,SzKOoeRCtoXvekt3K8B9Iw
63101,Clementine's Naughty & Nice Creamery,4.5,503,$$,63104,fC03dk7N8XV-RzGh0UJgmA
63101,Baileys' Chocolate Bar,4.0,544,$$,63104,u4WC_qHGn03jwNdVmW5vaQ
63101,Tony's,4.0,185,$$$$,63102,v2Z_d9d2GWCVUTtPg5ucRw
63101,Pickles Deli Downtown,4.5,145,$,63101,xhydqMrct3DSCIl7Yjx9Qg
63101,Lombardo's Trattoria,4.5,291,$$,63103,kBCB53psaoKcHwv4kNByOg
